partial_index,m,c,mech,rep,snp_num,N,q,sd,se,ci,index_nosnp,mean_q
0.01 0 dmi 1.13,0.01,0,dmi,10,1.13,150,0.456666666666667,0.352063269685006,0.0287458455968044,0.0568021697031041,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,18,1.13,150,0.453333333333333,0.349240146732138,0.0285153385729488,0.0563466847864156,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,14,1.13,150,0.6,0.357094915286524,0.0291566777398123,0.0576139794315061,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,7,1.13,150,0.56,0.347184263398671,0.0283474764016926,0.0560149869239778,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,9,1.13,150,0.35,0.336533852022418,0.0274778739542742,0.0542966410285283,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,6,1.13,150,0.583333333333333,0.349576285549155,0.02854278419243,0.0564009176921802,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,4,1.13,150,0.58,0.347956643137267,0.0284105409432668,0.0561396032891733,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,11,1.13,150,0.433333333333333,0.345957802188149,0.0282473362631894,0.0558171086906799,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,16,1.13,150,0.553333333333333,0.328442872289751,0.0268172482254664,0.0529912358828835,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,15,1.13,150,0.576666666666667,0.351108822050515,0.0286679152737807,0.0566481783578677,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,17,1.13,150,0.616666666666667,0.334867832621147,0.0273418440397845,0.0540278441249367,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,19,1.13,150,0.466666666666667,0.355525259708544,0.0290285158985468,0.0573607299442885,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,2,1.13,150,0.43,0.337926960854684,0.0275916208141147,0.0545214063224939,0.01 0 dmi,0.512
0.01 0 dmi 1.13,0.01,0,dmi,3,1.13,150,0.52,0.346990899828451,0.0283316883322966,0.055983789490801,0.01 0 dmi,0.512
0.01 0 dmi 1.14,0.01,0,dmi,11,1.14,150,0.496666666666667,0.368639192959905,0.0300992640647718,0.0594765424307357,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,10,1.14,150,0.453333333333333,0.367955838221697,0.0300434683840411,0.0593662894303537,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,19,1.14,150,0.436666666666667,0.348999849361839,0.0284957183748233,0.0563079150163707,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,13,1.14,150,0.31,0.304716834115361,0.0248800253206314,0.0491632578948082,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,8,1.14,150,0.476666666666667,0.35396444417553,0.0289010758439303,0.057108906717001,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,20,1.14,150,0.483333333333333,0.344743201122746,0.0281481645014801,0.0556211439826877,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,4,1.14,150,0.57,0.347715458771186,0.0283908483222389,0.056100690410519,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,5,1.14,150,0.55,0.360601659795098,0.0294430022299561,0.0581797603971253,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,9,1.14,150,0.323333333333333,0.312688421942678,0.0255309027411883,0.050449400254889,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,12,1.14,150,0.473333333333333,0.369956766323507,0.0302068434794221,0.0596891207717327,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,18,1.14,150,0.476666666666667,0.344353623974714,0.0281163556605426,0.0555582892938281,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,1,1.14,150,0.573333333333333,0.334717484131686,0.0273295681370252,0.0540035867793162,0.01 0 dmi,0.500833333333333
0.01 0 dmi 1.14,0.01,0,dmi,7,1.14,150,0.566666666666667,0.360213707386066,0.0294113260484023,0.0581171678449562,0.01 0 dmi,0.500833333333333
